SourceName_;_LineNumber_;_Key Values_;_TRN_NB_;_FAM_;_GROUP_;_TYPE_;_CURRENCY_;_PL_;_PC_;_FC_;_MV_;_DELTA_;_GAMMA
MxG2K_;_1_;_12345_;_12345_;_EQD_;_OPT_;_OTC_;_EUR_;_208.9270741_;_35.60584326_;_95.10337185_;_78.21785897_;_69.85732438_;_44.09282546
MX.3_;_1_;_12345_;_12345_;_EQD_;_OPT_;_OTC_;_EUR_;_213.3212308_;_40_;_95.10337185_;_78.21785897_;_69.85732438_;_44.09282546
MxG2K_;_2_;_12346_;_12346_;_EQD_;_OPT_;_OTC_;_USD_;_92.57896883_;_58.06437491_;_3.704547003_;_30.81004691_;_6.798779724_;_77.61830702
MX.3_;_2_;_12346_;_12346_;_EQD_;_OPT_;_OTC_;_USD_;_92.57896883_;_58.06437491_;_3.704547003_;_30.81004691_;_6.798779724_;_77.61830702
MxG2K_;_3_;_12347_;_12347_;_EQD_;_OPT_;_OTC_;_EUR_;_139.1882641_;_23.5794681_;_34.02912399_;_81.57967197_;_50.1689342_;_9.451949304
MX.3_;_3_;_12347_;_12347_;_EQD_;_OPT_;_OTC_;_EUR_;_140.608796_;_25_;_34.02912399_;_81.57967197_;_50.1689342_;_9.451949304
MxG2K_;_4_;_12348_;_12348_;_EQD_;_OPT_;_OTC_;_EUR_;_178.1140754_;_70.11918605_;_14.75493269_;_93.23995669_;_44.62136266_;_27.50323663
MX.3_;_4_;_12348_;_12348_;_EQD_;_OPT_;_OTC_;_EUR_;_182.9948894_;_75_;_14.75493269_;_93.23995669_;_44.62136266_;_27.50323663
MxG2K_;_5_;_12349_;_12349_;_EQD_;_OPT_;_OTC_;_USD_;_218.4669474_;_91.91640429_;_84.12745288_;_42.42309019_;_38.07380696_;_36.69511345
MX.3_;_5_;_12349_;_12349_;_EQD_;_OPT_;_OTC_;_USD_;_218.4669474_;_91.91640429_;_84.12745288_;_42.42309019_;_38.07380696_;_36.69511345
MxG2K_;_6_;_12350_;_12350_;_EQD_;_OPT_;_OTC_;_EUR_;_235.5796868_;_90.89053353_;_61.32026864_;_83.36888461_;_62.06717312_;_71.26534662
MX.3_;_6_;_12350_;_12350_;_EQD_;_OPT_;_OTC_;_EUR_;_239.6891533_;_95_;_61.32026864_;_83.36888461_;_62.06717312_;_71.26534662
MxG2K_;_7_;_12351_;_12351_;_EQD_;_FUT_;__;_EUR_;_120.0927392_;_80.43546186_;_28.19125789_;_11.46601941_;_53.81018173_;_6.458692285
MX.3_;_7_;_12351_;_12351_;_EQD_;_FUT_;__;_EUR_;_123.1912579_;_80_;_28.19125789_;_15_;_55_;_7
MxG2K_;_8_;_12352_;_12352_;_EQD_;_FUT_;__;_USD_;_124.4978186_;_18.22506904_;_83.02562602_;_23.24712352_;_10.71338668_;_50.71757044
MX.3_;_8_;_12352_;_12352_;_EQD_;_FUT_;__;_USD_;_126.2506951_;_18.22506904_;_83.02562602_;_25_;_11_;_52
MxG2K_;_9_;_12353_;_12353_;_EQD_;_FUT_;__;_EUR_;_139.3389738_;_52.62809725_;_22.79302333_;_63.91785324_;_33.7644555_;_66.44260519
MX.3_;_9_;_12353_;_12353_;_EQD_;_FUT_;__;_EUR_;_139.7930233_;_52_;_22.79302333_;_65_;_34_;_67
MxG2K_;_10_;_12354_;_12354_;_EQD_;_FUT_;__;_USD_;_264.7124766_;_96.84658284_;_73.44630722_;_94.41958651_;_79.44305195_;_41.71594867
MX.3_;_10_;_12354_;_12354_;_EQD_;_FUT_;__;_USD_;_266.2928901_;_96.84658284_;_73.44630722_;_96_;_98_;_43
MxG2K_;_11_;_12355_;_12355_;_EQD_;_FUT_;__;_THB_;_50.67468673_;_10.53413393_;_34.97546255_;_5.16509025_;_1.730246628_;_76.81666137
MX.3_;_11_;_12355_;_12355_;_EQD_;_FUT_;__;_THB_;_50.67468673_;_10.53413393_;_34.97546255_;_5.16509025_;_1.730246628_;_76.81666137
MxG2K_;_12_;_12356_;_12356_;_EQD_;_FUT_;__;_USD_;_157.2263998_;_11.41112177_;_89.37324879_;_56.44202928_;_42.25286503_;_72.89449304
MX.3_;_12_;_12356_;_12356_;_EQD_;_FUT_;__;_USD_;_156.7843706_;_11.41112177_;_89.37324879_;_56_;_44_;_75
MxG2K_;_13_;_12357_;_12357_;_EQD_;_FUT_;__;_USD_;_114.9829605_;_33.06158395_;_49.12432055_;_32.79705596_;_28.4290424_;_20.23722994
MX.3_;_13_;_12357_;_12357_;_EQD_;_FUT_;__;_USD_;_115.1859045_;_33.06158395_;_49.12432055_;_33_;_30_;_23
MxG2K_;_14_;_12358_;_12358_;_IRD_;_BOND_;__;_USD_;_200.8909011_;_72.0154119_;_41.88783911_;_86.98765014_;_58.72201482_;_78.99637937
MX.3_;_14_;_12358_;_12358_;_IRD_;_BOND_;__;_USD_;_200.8909011_;_72.0154119_;_41.88783911_;_86.98765014_;_58.72201482_;_78.99637937
MxG2K_;_15_;_12359_;_12359_;_IRD_;_BOND_;__;_THB_;_141.252_;_38.58460592_;_8.900296673_;_93.76709743_;_7.892067011_;_67.21403448
MX.3_;_15_;_12359_;_12359_;_IRD_;_BOND_;__;_THB_;_141.252_;_38.58460592_;_8.900296673_;_93.76709743_;_7.892067011_;_67.21403448
MxG2K_;_16_;_12360_;_12360_;_IRD_;_BOND_;__;_USD_;_188.3666103_;_96.27583297_;_71.85537193_;_20.2354054_;_7.357503334_;_53.31625513
MX.3_;_16_;_12360_;_12360_;_IRD_;_BOND_;__;_USD_;_188.3666103_;_96.27583297_;_71.85537193_;_20.2354054_;_7.357503334_;_53.31625513
MxG2K_;_17_;_12361_;_12361_;_IRD_;_BOND_;__;_THB_;_100.5427965_;_3.968191419_;_37.94042113_;_58.63418393_;_69.2925284_;_21.72466314
MX.3_;_17_;_12361_;_12361_;_IRD_;_BOND_;__;_THB_;_100.5427965_;_3.968191419_;_37.94042113_;_58.63418393_;_69.2925284_;_21.72466314
MxG2K_;_18_;_12362_;_12362_;_IRD_;_BOND_;__;_THB_;_118.0500726_;_11.61852701_;_77.53324155_;_28.898304_;_12.96001579_;_54.48484224
MX.3_;_18_;_12362_;_12362_;_IRD_;_BOND_;__;_THB_;_118.0500726_;_11.61852701_;_77.53324155_;_28.898304_;_12.96001579_;_54.48484224
MxG2K_;_19_;_12363_;_12363_;_IRD_;_BOND_;__;_USD_;_155.0963093_;_84.93179568_;_44.04671596_;_26.11779765_;_68.85548559_;_87.94490937
MX.3_;_19_;_12363_;_12363_;_IRD_;_BOND_;__;_USD_;_155.0963093_;_84.93179568_;_44.04671596_;_26.11779765_;_68.85548559_;_87.94490937
